session_id	original_session_id
ses-18523000	ses-18523000
ses-18523001	ses-18523001
ses-18523002	ses-18523002
ses-18523003	ses-18523003
ses-18523004	ses-18523004
ses-18523005	ses-18523005
ses-18523006	ses-18523006
ses-18523007	ses-18523007
ses-18523008	ses-18523008
ses-18523009	ses-18523009
ses-18523010	ses-18523010
ses-18523011	ses-18523011
ses-18523012	ses-18523012
ses-18523013	ses-18523013
ses-18523014	ses-18523014
ses-18523015	ses-18523015
ses-18523016	ses-18523016
ses-18523017	ses-18523017
ses-18523018	ses-18523018
ses-18523019	ses-18523019
ses-18523020	ses-18523020
ses-18523021	ses-18523021
ses-18523022	ses-18523022
ses-18523023	ses-18523023
ses-18523024	ses-18523024
ses-18523025	ses-18523025
ses-18523026	ses-18523026
ses-18523027	ses-18523027
ses-18523028	ses-18523028
ses-18523029	ses-18523029
ses-18523030	ses-18523030
ses-18523031	ses-18523031
ses-18523032	ses-18523032
ses-18523033	ses-18523033
ses-18523034	ses-18523034
ses-18523035	ses-18523035
ses-18523036	ses-18523036
ses-18523037	ses-18523037
ses-18523038	ses-18523038
ses-18523039	ses-18523039
ses-18523040	ses-18523040
ses-18523041	ses-18523041
ses-18523042	ses-18523042
ses-18523043	ses-18523043
ses-18523044	ses-18523044
ses-18523045	ses-18523045
ses-18523046	ses-18523046
ses-18523047	ses-18523047
ses-18523048	ses-18523048
ses-18523049	ses-18523049
ses-18523050	ses-18523050
ses-18523051	ses-18523051
ses-18523052	ses-18523052
ses-18523053	ses-18523053
ses-18523054	ses-18523054
ses-18523055	ses-18523055
ses-18523056	ses-18523056
ses-18523057	ses-18523057
ses-18523058	ses-18523058
ses-18523059	ses-18523059
ses-18523060	ses-18523060
ses-18523061	ses-18523061
ses-18523062	ses-18523062
ses-18523063	ses-18523063
ses-18523064	ses-18523064
ses-18523065	ses-18523065
ses-18523066	ses-18523066
ses-18523067	ses-18523067
ses-18523068	ses-18523068
ses-18523069	ses-18523069
ses-18523070	ses-18523070
ses-18523071	ses-18523071
ses-18523072	ses-18523072
ses-18523073	ses-18523073
ses-18523074	ses-18523074
ses-18523075	ses-18523075
ses-18523076	ses-18523076
ses-18523077	ses-18523077
ses-18523078	ses-18523078
ses-18523079	ses-18523079
ses-18523080	ses-18523080
ses-18523081	ses-18523081
ses-18523082	ses-18523082
ses-18523083	ses-18523083
ses-18523084	ses-18523084
ses-18523085	ses-18523085
ses-18523086	ses-18523086
ses-18523087	ses-18523087
ses-18523088	ses-18523088
ses-18523089	ses-18523089
ses-18523090	ses-18523090
ses-18523091	ses-18523091
ses-18523092	ses-18523092
ses-18523093	ses-18523093
ses-18523094	ses-18523094
ses-18523095	ses-18523095
